KOD POCZTOWY;ADRES;MIEJSCOWOŚĆ;WOJEWÓDZTWO;POWIAT
21-143;Poczta Abramów;Abramów;Województwo lubelskie;Powiat lubartowski
21-146;Poczta Jeziorzany koło Radzynia Podlaskiego;Jeziorzany;Województwo lubelskie;Powiat lubartowski
21-150;Poczta Kock;Kock;Województwo lubelskie;Powiat lubartowski
21-200;Poczta Parczew;Parczew;Województwo lubelskie;Powiat parczewski
21-205;Poczta Jabłoń;Jabłoń;Województwo lubelskie;Powiat parczewski
21-210;Poczta Milanów;Milanów;Województwo lubelskie;Powiat parczewski
21-211;Poczta Dębowa Kłoda;Dębowa Kłoda;Województwo lubelskie;Powiat parczewski
21-213;Poczta Kodeniec;Kodeniec;Województwo lubelskie;Powiat parczewski
21-220;Poczta Siemień;Siemień;Województwo lubelskie;Powiat parczewski
21-222;Poczta Podedwórze;Podedwórze;Województwo lubelskie;Powiat parczewski
21-230;Poczta Sosnowica koło Parczewa;Sosnowica;Województwo lubelskie;Powiat parczewski
21-300;Poczta Radzyń Podlaski 001, ul. Dąbrowskiego 18;Radzyń Podlaski;Województwo lubelskie;Powiat radzyński
21-300;Skrytki Pocztowe Poczta Radzyń Podlaski 001, ul. Dąbrowskiego 18;Radzyń Podlaski;Województwo lubelskie;Powiat radzyński
21-302;Poczta Kąkolewnica Wschodnia;Kąkolewnica Wschodnia;Województwo lubelskie;Powiat radzyński
21-305;Poczta Suchowola koło Radzynia Podlaskiego;Suchowola;Województwo lubelskie;Powiat radzyński
21-306;Poczta Czemierniki;Czemierniki;Województwo lubelskie;Powiat radzyński
21-307;Poczta Ulan-Majorat;Ulan-Majorat;Województwo lubelskie;Powiat radzyński
21-310;Poczta Wohyń;Wohyń;Województwo lubelskie;Powiat radzyński
21-311;Poczta Komarówka Podlaska;Komarówka Podlaska;Województwo lubelskie;Powiat radzyński
21-315;Poczta Radzyń Podlaski 003, ul. Zabielska 62;Radzyń Podlaski;Województwo lubelskie;Powiat radzyński
21-345;Poczta Borki Radzyńskie;Borki;Województwo lubelskie;Powiat radzyński
21-400;Poczta Łuków 001, ul. Piłsudskiego 15;Łuków;Województwo lubelskie;Powiat łukowski
21-400;Skrytki Pocztowe Poczta Łuków 001, ul. Piłsudskiego 15;Łuków;Województwo lubelskie;Powiat łukowski
21-404;Poczta Trzebieszów koło Łukowa;Trzebieszów;Województwo lubelskie;Powiat łukowski
21-405;Poczta Agencja Pocztowa Zembry;Zembry;Województwo lubelskie;Powiat łukowski
21-410;Poczta Łuków 002, ul. Konarskiego 2;Łuków;Województwo lubelskie;Powiat łukowski
21-411;Poczta Wojcieszków koło Łukowa, ul. Kleeberga 10;Wojcieszków;Województwo lubelskie;Powiat łukowski
21-412;Poczta Adamów, ul. Kleberga 3A;Adamów;Województwo lubelskie;Powiat łukowski
21-413;Poczta Serokomla, ul. Warszawska 21;Serokomla;Województwo lubelskie;Powiat łukowski
21-421;Poczta Tuchowicz;Tuchowicz;Województwo lubelskie;Powiat łukowski
21-422;Poczta Stanin;Stanin;Województwo lubelskie;Powiat łukowski
21-425;Poczta Huta Dąbrowa, ul. Huta Dąbrowa 58;Huta-Dąbrowa;Województwo lubelskie;Powiat łukowski
21-426;Poczta Wola Mysłowska;Wola Mysłowska;Województwo lubelskie;Powiat łukowski
21-450;Poczta Stoczek Łukowski, ul. Wyzwolenia 6;Stoczek Łukowski;Województwo lubelskie;Powiat łukowski
21-470;Poczta Krzywda, ul. Łukowska 37;Krzywda;Województwo lubelskie;Powiat łukowski
21-480;Poczta Okrzeja, ul. Kościuszki 3;Okrzeja;Województwo lubelskie;Powiat łukowski
21-481;Poczta Wola Gułowska agencja pocztowa UP Adamów;Wola Gułowska;Województwo lubelskie;Powiat łukowski
21-500;Instytucja Rejonowy Urząd Poczty w Białej Podlaskiej, Pl. Wolności 9;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
21-500;Poczta Biała Podlaska 001, Pl. Wolności 9;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
21-500;Skrytki Pocztowe Poczta Biała Podlaska 001, Pl. Wolności 9;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
21-501;Poczta Biała Podlaska 003, ul. Zygmunta Starego 10;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
21-502;Poczta Biała Podlaska 004, Al. Tysiąclecia 35;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
21-504;Poczta Rokitno koło Białej Podlaskiej;Rokitno;Województwo lubelskie;Powiat bialski
21-505;Poczta Janów Podlaski;Janów Podlaski;Województwo lubelskie;Powiat bialski
21-506;Poczta Filia UP Biała Podlaska 006, ul. Kopernika 22;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
21-509;Poczta Kodeń;Kodeń;Województwo lubelskie;Powiat bialski
21-512;Poczta Zalesie koło Białej Podlaskiej;Zalesie;Województwo lubelskie;Powiat bialski
21-515;Poczta Sławatycze;Sławatycze;Województwo lubelskie;Powiat bialski
21-518;Poczta Sosnówka;Sosnówka;Województwo lubelskie;Powiat bialski
21-523;Poczta Tuczna koło Białej Podlaskiej;Tuczna;Województwo lubelskie;Powiat bialski
21-526;Poczta Jabłeczna;Jabłeczna;Województwo lubelskie;Powiat bialski
21-527;Poczta Biała Podlaska 007, ul. Orzechowa 34;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
21-530;Poczta Piszczac;Piszczac;Województwo lubelskie;Powiat bialski
21-532;Poczta Łomazy;Łomazy;Województwo lubelskie;Powiat bialski
21-533;Poczta Rossosz;Rossosz;Województwo lubelskie;Powiat bialski
21-536;Poczta Agencja Pocztowa Swory, ul. Kościelna 7;Swory;Województwo lubelskie;Powiat bialski
21-540;Poczta Małaszewicze;Małaszewicze;Województwo lubelskie;Powiat bialski
21-542;Poczta Leśna Podlaska;Leśna Podlaska;Województwo lubelskie;Powiat bialski
21-543;Poczta Konstantynów nad Bugiem;Konstantynów;Województwo lubelskie;Powiat bialski
21-550;Poczta Terespol nad Bugiem 001, ul. Wojska Polskiego 100;Terespol;Województwo lubelskie;Powiat bialski
21-550;Skrytki Pocztowe Poczta Terespol nad Bugiem 001, ul. Wojska Polskiego 100;Terespol;Województwo lubelskie;Powiat bialski
21-560;Poczta Międzyrzec Podlaski 001, ul. Warszawska 34;Międzyrzec Podlaski;Województwo lubelskie;Powiat bialski
21-561;Poczta Międzyrzec Podlaski 003, ul. Partyzantów 10;Międzyrzec Podlaski;Województwo lubelskie;Powiat bialski
21-564;Poczta Tłuściec;Tłuściec;Województwo lubelskie;Powiat bialski
21-570;Poczta Drelów;Drelów;Województwo lubelskie;Powiat bialski
21-580;Poczta Wisznice;Wisznice;Województwo lubelskie;Powiat bialski
21-590;Instytucja Przedstawicielstwo Operacyjne CUP;Biała Podlaska;Województwo lubelskie;Miasto Biała Podlaska na prawach powiatu
22-100;Instytucja Rejonowy Urząd Poczty w Chełmie, ul. I Armii Wojska Polskiego;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-100;Poczta Chełm 001, Al. I Armii Wojska Polskiego 41;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-100;Skrytki Pocztowe Poczta Chełm 001, Al. I Armii Wojska Polskiego 41;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-102;Poczta Chełm 003, ul. Lubelska 69;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-103;Poczta Chełm 004, Pl. Niepodległości 1;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-103;Skrytki Pocztowe Poczta Chełm 004, Pl. Niepodległości 1;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-104;Poczta Chełm 005, ul. Sienkiewicza 3;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-104;Skrytki Pocztowe Poczta Chełm 005, ul. Sienkiewicza 3;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-105;Poczta Okszów;Okszów;Województwo lubelskie;Powiat chełmski
22-106;Poczta Czułczyce;Czułczyce;Województwo lubelskie;Powiat chełmski
22-107;Poczta Sawin;Sawin;Województwo lubelskie;Powiat chełmski
22-109;Poczta Chełm 006, ul. Zachodnia 19;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-109;Skrytki Pocztowe Poczta Chełm 006, ul. Zachodnia 19;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-110;Poczta Ruda-Huta;Ruda-Huta;Województwo lubelskie;Powiat chełmski
22-113;Poczta Kamień Lubelski;Kamień;Województwo lubelskie;Powiat chełmski
22-114;Poczta Żmudź;Żmudź;Województwo lubelskie;Powiat chełmski
22-115;Instytucja ZUS oddział Chełm, ul. I Armii Wojska Polskiego 8;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-116;Poczta Chełm 007, ul. Wirskiego 4;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-116;Skrytki Pocztowe Poczta Chełm 007, ul. Wirskiego 4;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-117;Poczta Chełm 008, ul. Piłsudskiego 32;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-118;Poczta Chełm 009, ul. Hrubieszowska 102;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-118;Skrytki Pocztowe Poczta Chełm 009, ul. Hrubieszowska 102;Chełm;Województwo lubelskie;Miasto Chełm na prawach powiatu
22-120;Poczta Wojsławice;Wojsławice;Województwo lubelskie;Powiat chełmski
22-122;Poczta Leśniowice;Leśniowice;Województwo lubelskie;Powiat chełmski
22-130;Poczta Siedliszcze nad Wieprzem;Siedliszcze;Województwo lubelskie;Powiat chełmski
22-133;Poczta Nowe Chojno;Nowe Chojno;Województwo lubelskie;Powiat chełmski
22-135;Poczta Białopole;Białopole;Województwo lubelskie;Powiat chełmski
22-145;Poczta Dubienka;Dubienka;Województwo lubelskie;Powiat chełmski
22-150;Poczta Wierzbica koło Chełma;Wierzbica;Województwo lubelskie;Powiat chełmski
22-151;Poczta Staw Lubelski;Staw;Województwo lubelskie;Powiat chełmski
22-169;Poczta Rejowiec Fabryczny 003, ul. Hirszfelda 6;Rejowiec Fabryczny;Województwo lubelskie;Powiat chełmski
22-170;Poczta Rejowiec Fabryczny 001, ul. Dworcowa 9;Rejowiec Fabryczny;Województwo lubelskie;Powiat chełmski
22-170;Skrytki Pocztowe Poczta Rejowiec Fabryczny 001, ul. Dworcowa 9;Rejowiec Fabryczny;Województwo lubelskie;Powiat chełmski
22-174;Poczta Brzeźno koło Chełma;Brzeźno;Województwo lubelskie;Powiat chełmski
22-175;Poczta Dorohusk;Dorohusk;Województwo lubelskie;Powiat chełmski
22-200;Poczta Włodawa 001, ul. 11 listopada 6;Włodawa;Województwo lubelskie;Powiat włodawski
22-200;Skrytki Pocztowe Poczta Włodawa 001, ul. 11 listopada 6;Włodawa;Województwo lubelskie;Powiat włodawski
22-201;Poczta Włodawa 003, ul. II Warszawskiej Brygady Saperów 15;Włodawa;Województwo lubelskie;Powiat włodawski
22-205;Poczta Wyryki;Wyryki;Województwo lubelskie;Powiat włodawski
22-207;Poczta Filia UP Włodawa 001;Żuków;Województwo lubelskie;Powiat włodawski
22-211;Poczta Różanka nad Bugiem;Różanka;Województwo lubelskie;Powiat włodawski
22-220;Poczta Hanna;Hanna;Województwo lubelskie;Powiat włodawski
22-230;Poczta Wola Uhruska;Wola Uhruska;Województwo lubelskie;Powiat włodawski
22-232;Poczta Okuninka (sezonowy);Okuninka;Województwo lubelskie;Powiat włodawski
22-234;Poczta Urszulin;Urszulin;Województwo lubelskie;Powiat włodawski
22-235;Poczta Hańsk;Hańsk Pierwszy;Województwo lubelskie;Powiat włodawski
22-244;Poczta Stary Brus;Stary Brus;Województwo lubelskie;Powiat włodawski
22-300;Poczta Krasnystaw;Krasnystaw;Województwo lubelskie;Powiat krasnostawski
22-302;Poczta Siennica Nadolna;Siennica Nadolna;Województwo lubelskie;Powiat krasnostawski
22-304;Poczta Siennica Różana;Siennica Różana;Województwo lubelskie;Powiat krasnostawski
22-310;Poczta Kraśniczyn;Kraśniczyn;Województwo lubelskie;Powiat krasnostawski
22-315;Poczta Gorzków;Gorzków;Województwo lubelskie;Powiat krasnostawski
22-330;Poczta Rudnik koło Krasnegostawu;Rudnik;Województwo lubelskie;Powiat krasnostawski
22-335;Poczta Żółkiewka;Żółkiewka-Osada;Województwo lubelskie;Powiat krasnostawski
22-351;Poczta Łopiennik Górny;Łopiennik Górny;Województwo lubelskie;Powiat krasnostawski
22-360;Poczta Rejowiec Lubelski;Rejowiec;Województwo lubelskie;Powiat krasnostawski
22-363;Poczta Zawadówka;Zawadówka;Województwo lubelskie;Powiat chełmski
22-375;Poczta Izbica nad Wieprzem;Izbica;Województwo lubelskie;Powiat krasnostawski
22-376;Poczta Filia UP Izbica nad Wieprzem;Orłów Murowany;Województwo lubelskie;Powiat krasnostawski
22-400;Instytucja Rejonowy Urząd Poczty w Zamościu, ul. Kościuszki 9;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-400;Poczta Zamość 001, ul. Kościuszki 9;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-400;Skrytki Pocztowe Poczta Zamość 001, ul. Kościuszki 9;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-401;Poczta Zamość 003, ul. Partyzantów 11;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-402;Poczta Zamość 004, ul. Koszary;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-403;Poczta Zamość 005, ul. Szczebrzeska 35;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-403;Skrytki Pocztowe Poczta Zamość 005, ul. Szczebrzeska 35;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-404;Poczta Zamość 006, ul. Kardynała Wyszyńskiego 50 B;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-405;Poczta Zamość 007, ul. Orzeszkowej 17;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-406;Poczta Zamość 008, ul. Zamojskiego 6;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-407;Poczta Zamość 009, ul. Przemysłowa 4 B;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-409;Poczta Zamość 011, ul. Szwedzka 22;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-410;Poczta Zamość 012, ul. Lwowska 25;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-413;Poczta Nielisz;Nielisz;Województwo lubelskie;Powiat zamojski
22-417;Poczta Stary Zamość;Stary Zamość;Województwo lubelskie;Powiat zamojski
22-420;Poczta Skierbieszów;Skierbieszów;Województwo lubelskie;Powiat zamojski
22-424;Poczta Sitno koło Zamościa;Sitno;Województwo lubelskie;Powiat zamojski
22-425;Poczta Grabowiec koło Hrubieszowa;Grabowiec;Województwo lubelskie;Powiat zamojski
22-435;Poczta Komarów-Osada;Komarów-Osada;Województwo lubelskie;Powiat zamojski
22-437;Poczta Łabunie;Łabunie;Województwo lubelskie;Powiat zamojski
22-440;Poczta Krasnobród;Krasnobród;Województwo lubelskie;Powiat zamojski
22-442;Poczta Adamów koło Zamościa;Adamów;Województwo lubelskie;Powiat zamojski
22-448;Poczta Sułów koło Zamościa;Sułów;Województwo lubelskie;Powiat zamojski
22-450;Poczta Zatory;Zawada;Województwo lubelskie;Powiat zamojski
22-455;Poczta Miączyn;Miączyn;Województwo lubelskie;Powiat zamojski
22-457;Poczta Horyszów Ruski agencja pocztowa Miączyn;Horyszów;Województwo lubelskie;Powiat zamojski
22-460;Poczta Szczebrzeszyn;Szczebrzeszyn;Województwo lubelskie;Powiat zamojski
22-461;Poczta Filia UP Sułków koło Zamościa;Michalów;Województwo lubelskie;Powiat zamojski
22-463;Poczta Radecznica;Radecznica;Województwo lubelskie;Powiat zamojski
22-470;Poczta Zwierzyniec nad Wieprzem;Zwierzyniec;Województwo lubelskie;Powiat zamojski
22-490;Instytucja Przedstawicielstwo Operacyjne CUP;Zamość;Województwo lubelskie;Miasto Zamość na prawach powiatu
22-500;Poczta Hrubieszów 001, ul. Piłsudskiego 7;Hrubieszów;Województwo lubelskie;Powiat hrubieszowski
22-500;Skrytki Pocztowe Poczta Hrubieszów 001, ul. Piłsudskiego 7;Hrubieszów;Województwo lubelskie;Powiat hrubieszowski
22-501;Poczta Hrubieszów 003, ul. Dwernickiego 44;Hrubieszów;Województwo lubelskie;Powiat hrubieszowski
22-510;Poczta Uchanie;Uchanie;Województwo lubelskie;Powiat hrubieszowski
22-523;Poczta Horodło;Horodło;Województwo lubelskie;Powiat hrubieszowski
22-525;Poczta Strzyżów koło Hrubieszowa;Strzyżów;Województwo lubelskie;Powiat hrubieszowski
22-530;Poczta Mircze;Mircze;Województwo lubelskie;Powiat hrubieszowski
22-540;Poczta Dołhobyczów;Dołhobyczów;Województwo lubelskie;Powiat hrubieszowski
22-546;Poczta Turkowice;Turkowice;Województwo lubelskie;Powiat hrubieszowski
22-550;Poczta Werbkowice;Werbkowice;Województwo lubelskie;Powiat hrubieszowski
22-554;Poczta Trzeszczany;Trzeszczany Pierwsze;Województwo lubelskie;Powiat hrubieszowski
22-565;Poczta Nieledew;Nieledew;Województwo lubelskie;Powiat hrubieszowski
22-600;Poczta Tomaszów Lubelski 001, ul. Żwirki i Wigury 4;Tomaszów Lubelski;Województwo lubelskie;Powiat tomaszowski
22-600;Skrytki Pocztowe Poczta Tomaszów Lubelski 001, ul. Żwirki i Wigury 4;Tomaszów Lubelski;Województwo lubelskie;Powiat tomaszowski
22-602;Poczta Tomaszów Lubelski 004, ul. Zamojska 2;Tomaszów Lubelski;Województwo lubelskie;Powiat tomaszowski
22-604;Poczta Tarnawatka;Tarnawatka;Województwo lubelskie;Powiat tomaszowski
22-610;Poczta Krynice koło Tomaszowa Lubelskiego;Krynice;Województwo lubelskie;Powiat tomaszowski
22-630;Poczta Tyszowce;Tyszowce;Województwo lubelskie;Powiat tomaszowski
22-640;Poczta Rachanie;Rachanie;Województwo lubelskie;Powiat tomaszowski
22-650;Poczta Łaszczów;Łaszczów;Województwo lubelskie;Powiat tomaszowski
22-652;Poczta Telatyn;Telatyn;Województwo lubelskie;Powiat tomaszowski
22-664;Poczta Jarczów koło Tomaszowa Lubelskiego;Jarczów;Województwo lubelskie;Powiat tomaszowski
22-670;Poczta Bełżec;Bełżec;Województwo lubelskie;Powiat tomaszowski
22-671;Poczta Majdan Sopocki agencja pocztowa Susiec;Majdan Sopocki;Województwo lubelskie;Powiat tomaszowski
22-672;Poczta Susiec Tomaszowski;Susiec;Województwo lubelskie;Powiat tomaszowski
22-678;Poczta Ulhówek;Ulhówek;Województwo lubelskie;Powiat tomaszowski
22-680;Poczta Lubycza Królewska;Lubycza Królewska;Województwo lubelskie;Powiat tomaszowski
22-681;Poczta Hrebenne;Hrebenne;Województwo lubelskie;Powiat tomaszowski
23-100;Poczta Bychawa, ul. Piłsudskiego 7-15;Bychawa;Województwo lubelskie;Powiat lubelski
23-100;Skrytki Pocztowe Poczta Bychawa, ul. Piłsudskiego 7-15;Bychawa;Województwo lubelskie;Powiat lubelski
23-107;Poczta Strzyżewice;Strzyżewice;Województwo lubelskie;Powiat lubelski
23-109;Poczta Pszczela Wola;Pszczela Wola;Województwo lubelskie;Powiat lubelski
23-110;Poczta Krzczonów;Krzczonów;Województwo lubelskie;Powiat lubelski
23-114;Poczta Jabłonna Lubelska;Piotrków Pierwszy;Województwo lubelskie;Powiat lubelski
23-145;Poczta Wysokie koło Krasnegostawu;Wysokie;Województwo lubelskie;Powiat lubelski
23-155;Poczta Zakrzew koło Krasnegostawu;Zakrzew;Województwo lubelskie;Powiat lubelski
23-156;Poczta Dębina agencja pocztowa Zakrzew koło Krasnegostawu;Dębina;Województwo lubelskie;Powiat lubelski
23-200;Poczta Kraśnik Lubelski 001, Pl. Wolności 15;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-200;Skrytki Pocztowe Poczta Kraśnik Lubelski 001, Pl. Wolności 15;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-202;Poczta Kraśnik Lubelski 004, ul. Urzędowska 36;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-203;Poczta Kraśnik Lubelski 006, ul. Kochanowskiego 1 A;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-203;Skrytki Pocztowe Poczta Kraśnik Lubelski 006, ul. Kochanowskiego 1 A;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-204;Poczta Kraśnik Lubelski 007, ul. Księdza Zielińskiego 3;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-204;Skrytki Pocztowe Poczta Kraśnik Lubelski 007, ul. Księdza Zielińskiego 3;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-205;Poczta Popkowice;Popkowice;Województwo lubelskie;Powiat kraśnicki
23-206;Poczta Stróża koło Kraśnika Lubelskiego;Stróża;Województwo lubelskie;Powiat kraśnicki
23-210;Poczta Kraśnik Lubelski 005, ul. Sikorskiego 13;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-210;Skrytki Pocztowe Poczta Kraśnik Lubelski 005, ul. Sikorskiego 13;Kraśnik;Województwo lubelskie;Powiat kraśnicki
23-212;Poczta Wilkołaz;Wilkołaz;Województwo lubelskie;Powiat kraśnicki
23-213;Poczta Zakrzówek;Zakrzówek;Województwo lubelskie;Powiat kraśnicki
23-225;Poczta Szastarka;Szastarka;Województwo lubelskie;Powiat kraśnicki
23-230;Poczta Trzydnik Duży;Trzydnik Duży;Województwo lubelskie;Powiat kraśnicki
23-231;Poczta Olbięcin agencja pocztowa Trzydnik Duży;Olbięcin;Województwo lubelskie;Powiat kraśnicki
23-235;Poczta Annopol;Annopol;Województwo lubelskie;Powiat kraśnicki
23-250;Poczta Urzędów;Urzędów;Województwo lubelskie;Powiat kraśnicki
23-251;Poczta Dzierzkowice;Dzierzkowice;Województwo lubelskie;Powiat kraśnicki
23-275;Poczta Gościeradów;Gościeradów Ukazowy;Województwo lubelskie;Powiat kraśnicki
23-300;Poczta Janów Lubelski;Janów Lubelski;Województwo lubelskie;Powiat janowski
23-302;Poczta Godziszów;Godziszów;Województwo lubelskie;Powiat janowski
23-304;Poczta Dzwola;Dzwola;Województwo lubelskie;Powiat janowski
23-305;Poczta Chrzanów koło Janowa Lubelskiego;Chrzanów;Województwo lubelskie;Powiat janowski
23-310;Poczta Modliborzyce koło Kraśnika Lubelskiego;Modliborzyce;Województwo lubelskie;Powiat janowski
23-313;Poczta Potok Wielki;Potok Wielki;Województwo lubelskie;Powiat janowski
23-320;Poczta Batorz;Batorz;Województwo lubelskie;Powiat janowski
23-400;Poczta Biłgoraj 001, ul. Kościuszki 81;Biłgoraj;Województwo lubelskie;Powiat biłgorajski
23-400;Skrytki Pocztowe Poczta Biłgoraj 001, ul. Kościuszki 81;Biłgoraj;Województwo lubelskie;Powiat biłgorajski
23-401;Poczta Biłgoraj 003, Pl. Wolności 9;Biłgoraj;Województwo lubelskie;Powiat biłgorajski
23-407;Poczta Tereszpol koło Biłgoraja;Tereszpol;Województwo lubelskie;Powiat biłgorajski
23-408;Poczta Aleksandrów koło Biłgoraja;Aleksandrów;Województwo lubelskie;Powiat biłgorajski
23-412;Poczta Łukowa koło Biłgoraja;Łukowa;Województwo lubelskie;Powiat biłgorajski
23-413;Poczta Obsza;Obsza;Województwo lubelskie;Powiat biłgorajski
23-414;Poczta Majdan Stary;Stary Majdan;Województwo lubelskie;Powiat biłgorajski
23-415;Poczta Księżpol;Księżpol;Województwo lubelskie;Powiat biłgorajski
23-420;Poczta Tarnogród;Tarnogród;Województwo lubelskie;Powiat biłgorajski
23-423;Poczta Potok Górny;Potok Górny;Województwo lubelskie;Powiat biłgorajski
23-425;Poczta Biszcza;Biszcza;Województwo lubelskie;Powiat biłgorajski
23-440;Poczta Frampol;Frampol;Województwo lubelskie;Powiat biłgorajski
23-450;Poczta Goraj Lubelski;Goraj;Województwo lubelskie;Powiat biłgorajski
23-460;Poczta Józefów koło Biłgoraja;Józefów;Województwo lubelskie;Powiat biłgorajski
23-465;Poczta Turobin;Turobin;Województwo lubelskie;Powiat biłgorajski
24-100;Poczta Puławy 001, ul. Lubelska 3;Puławy;Województwo lubelskie;Powiat puławski
24-100;Skrytki Pocztowe Poczta Puławy 001, ul. Lubelska 3;Puławy;Województwo lubelskie;Powiat puławski
24-101;Poczta Oddział UP Puławy 001;Gołąb;Województwo lubelskie;Powiat puławski
24-103;Poczta Żyrzyn koło Puław;Żyrzyn;Województwo lubelskie;Powiat puławski
24-105;Poczta Baranów nad Wieprzem;Baranów;Województwo lubelskie;Powiat puławski
24-110;Poczta Puławy 003, Al. Tysiąclecia Państwa Polskiego 9;Puławy;Województwo lubelskie;Powiat puławski
24-110;Skrytki Pocztowe Poczta Puławy 003, Al. Tysiąclecia Państwa Polskiego 9;Puławy;Województwo lubelskie;Powiat puławski
24-111;Poczta Puławy 004, ul. Kołłątaja 22;Puławy;Województwo lubelskie;Powiat puławski
24-111;Skrytki Pocztowe Poczta Puławy 004, ul. Kołłątaja 22;Puławy;Województwo lubelskie;Powiat puławski
24-112;Poczta Puławy 005, ul. Legionu Puławskiego 5;Puławy;Województwo lubelskie;Powiat puławski
24-120;Poczta Kazimierz Dolny;Kazimierz Dolny;Województwo lubelskie;Powiat puławski
24-123;Poczta Janowiec nad Wisłą;Janowiec;Województwo lubelskie;Powiat puławski
24-130;Poczta Końskowola;Końskowola;Województwo lubelskie;Powiat puławski
24-140;Poczta Nałęczów 001, ul. Lipowa 25;Nałęczów;Województwo lubelskie;Powiat puławski
24-150;Poczta Nałęczów 003, ul. Głębocznica 23;Nałęczów;Województwo lubelskie;Powiat puławski
24-160;Poczta Wąwolnica;Wąwolnica;Województwo lubelskie;Powiat puławski
24-170;Poczta Kurów;Kurów;Województwo lubelskie;Powiat puławski
24-173;Poczta Markuszów;Markuszów;Województwo lubelskie;Powiat puławski
24-200;Poczta Bełżyce, ul. Lubelska 3;Bełżyce;Województwo lubelskie;Powiat lubelski
24-200;Skrytki Pocztowe Poczta Bełżyce, ul. Lubelska 3;Bełżyce;Województwo lubelskie;Powiat lubelski
24-204;Poczta Wojciechów Lubelski;Wojciechów;Województwo lubelskie;Powiat lubelski
24-220;Poczta Niedrzwica Duża;Niedrzwica Duża;Województwo lubelskie;Powiat lubelski
24-220;Skrytki Pocztowe Poczta Niedrzwica Duża;Niedrzwica Duża;Województwo lubelskie;Powiat lubelski
24-224;Poczta Borzechów koło Bełżyc;Borzechów;Województwo lubelskie;Powiat lubelski
24-300;Poczta Opole Lubelskie;Opole Lubelskie;Województwo lubelskie;Powiat opolski
24-310;Poczta Karczmiska;Karczmiska Pierwsze;Województwo lubelskie;Powiat opolski
24-313;Poczta Wilków nad Wisłą;Wilków;Województwo lubelskie;Powiat opolski
24-320;Poczta Poniatowa;Poniatowa;Województwo lubelskie;Powiat opolski
24-333;Poczta Wrzelowiec (zawieszony);Wrzelowiec;Województwo lubelskie;Powiat opolski
24-335;Poczta Łaziska koło Opola Lubelskiego;Łaziska;Województwo lubelskie;Powiat opolski
24-340;Poczta Józefów nad Wisłą;Józefów;Województwo lubelskie;Powiat opolski
24-350;Poczta Chodel;Chodel;Województwo lubelskie;Powiat opolski
25-001;Instytucja Rejonowy Urząd Poczty w Kielcach, Pl. Niepodległości 2;Kielce;Województwo świętokrzyskie;Miasto Kielce na prawach powiatu
